State,Score
New York,8
Massachusetts,8
Vermont,7
New Hampshire,7
Connecticut,7
Oregon,6
Illinois,6
Maine,6
Maryland,6
California,6
Delaware,5
Washington,5
Rhode Island,5
Iowa,5
Nevada,5
New Jersey,4
New Mexico,3
Wisconsin,3
Colorado,3
Pennsylvania,2
Hawaii,2
Minnesota,2
Florida,2
Arizona,2
Alaska,1
Indiana,1
Ohio,1
Kansas,1
Missouri,1
Nebraska,1
North Dakota,0
South Dakota,0
Michigan,0
Virginia,0
West Virginia,0
Kentucky,0
Wyoming,0
Texas,0
Louisiana,0
Tennessee,0
Georgia,-1
Mississippi,-1
Arkansas,-1
Oklahoma,-1
Idaho,-1
Montana,-1
South Carolina,-2
Utah,-2
North Carolina,-3
Alabama,-3
